,0,
0x4adf7614d2996cc3b912f0e5ce3db23d6886d636821db80c5ec6385bc9775c5f,0x44576de90f896a148f669a2045dcf7d3b03924c7,0x6060604052341561000f57600080fd5b604051602080610bbe8339810160405280805190602001909190505080600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055506012600a0a6402540be4000260008190555060005460016000600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000208190555050610ac8806100f66000396000f3006060604052600436106100a4576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff16806306fdde03146100a9578063095ea7b31461013757806318160ddd1461019157806323b872dd146101ba578063313ce5671461023357806370a082311461025c57806395d89b41146102a9578063a9059cbb14610337578063d4b8399214610391578063dd62ed3e146103e6575b600080fd5b34156100b457600080fd5b6100bc610452565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156100fc5780820151818401526020810190506100e1565b50505050905090810190601f1680156101295780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561014257600080fd5b610177600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803590602001909190505061048b565b604051808215151515815260200191505060405180910390f35b341561019c57600080fd5b6101a461057d565b6040518082815260200191505060405180910390f35b34156101c557600080fd5b610219600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610583565b604051808215151515815260200191505060405180910390f35b341561023e57600080fd5b6102466107ff565b6040518082815260200191505060405180910390f35b341561026757600080fd5b610293600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091905050610804565b6040518082815260200191505060405180910390f35b34156102b457600080fd5b6102bc61084d565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156102fc5780820151818401526020810190506102e1565b50505050905090810190601f1680156103295780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561034257600080fd5b610377600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610886565b604051808215151515815260200191505060405180910390f35b341561039c57600080fd5b6103a46109ef565b604051808273ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200191505060405180910390f35b34156103f157600080fd5b61043c600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff16906020019091905050610a15565b6040518082815260200191505060405180910390f35b6040805190810160405280600e81526020017f4361724e6f6d696320546f6b656e00000000000000000000000000000000000081525081565b600081600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925846040518082815260200191505060405180910390a36001905092915050565b60005481565b600081600160008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205410158015610650575081600260008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205410155b801561065c5750600082115b156107f35781600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000206000828254019250508190555081600160008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000206000828254039250508190555081600260008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020600082825403925050819055508273ffffffffffffffffffffffffffffffffffffffff168473ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a3600190506107f8565b600090505b9392505050565b601281565b6000600160008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020549050919050565b6040805190810160405280600481526020017f4341524d0000000000000000000000000000000000000000000000000000000081525081565b600081600160003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054101580156108d75750600082115b156109e45781600160003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000206000828254039250508190555081600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020600082825401925050819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a3600190506109e9565b600090505b92915050565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1681565b6000600260008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020549050929150505600a165627a7a72305820a0b32dac071d82d38355052d73d64966834c2033f33c67f3da8968e05165578d0029000000000000000000000000b0bc04dd5957d1afa416f80801fb6ed5276dfffb
0x9b2bd407634c6ec834609142bb10a15c560945eca730664e2522737c8806865c,0xb0bc04dd5957d1afa416f80801fb6ed5276dfffb,0xa9059cbb000000000000000000000000a4482b8f97033d308a0bf30f90669b8e21eca829000000000000000000000000000000000000000000108b2a2c28029094000000
0xee2264d70d6ae879cc79c6dae034387cb8cd184d8b448d0246b78a2b95af3183,0xb0bc04dd5957d1afa416f80801fb6ed5276dfffb,0xa9059cbb000000000000000000000000a995fd38c702e45e983b1cb152d518d48e1e7a570000000000000000000000000000000000000000000000056bc75e2d63100000
0x773c206633b0111d3766bae5ca12611f35fb07571c8749aa50516757634288fe,0xb0bc04dd5957d1afa416f80801fb6ed5276dfffb,0xa9059cbb000000000000000000000000791cb725b1ffbd786cbd9900b2e10b3262a4b99400000000000000000000000000000000000000000000000821ab0d4414980000
0x0aecd1f81dd8055b395c1a0cbc3138fcf364d14df8d6d4c8e3888f1aa926888b,0xb0bc04dd5957d1afa416f80801fb6ed5276dfffb,0xa9059cbb000000000000000000000000afae3c7fd1d5f15a738aef3e5262bc299a37190600000000000000000000000000000000000000000000000ad78ebc5ac6200000
0x92d8f1f9a0e3cfbb47474b3c7d4a84437d18c7948d28b3a4acc1f0f0053876c9,0xb0bc04dd5957d1afa416f80801fb6ed5276dfffb,0xa9059cbb000000000000000000000000f7b77e8e8827c3eb1b47f38d8c1fb4e52f47fd7f00000000000000000000000000000000000000000000d3c21bcecceda1000000
0x85adefdca80ebbf2dfdbf4e2597b76a2cecc5b482bf4744019f901e1517989c5,0xa4482b8f97033d308a0bf30f90669b8e21eca829,0xa9059cbb0000000000000000000000005ad4418d141dea2202d36e1800a90004932c55f100000000000000000000000000000000000000000000010f0cf064dd59200000
0x86341888816bf4f6ac35fb9a821a94f1f3521215149eea9707844d533f9dba72,0xa4482b8f97033d308a0bf30f90669b8e21eca829,0xa9059cbb000000000000000000000000a7d3d45234815014a0530b50c60840c9464072c200000000000000000000000000000000000000000000010f0cf064dd59200000
0x38c4d785e86cae95372f08a60c1cf20f8bdb1000af6d14c372aba29f64c2085e,0xa4482b8f97033d308a0bf30f90669b8e21eca829,0xa9059cbb0000000000000000000000001c72e9176e75a4492237efae9e424963a5b9cd8000000000000000000000000000000000000000000000010f0cf064dd59200000
0xba7b1d2dbebafa13d3e00f8a19c7347605806fcdef8f63f9478eca0ae49c6f54,0xa4482b8f97033d308a0bf30f90669b8e21eca829,0xa9059cbb000000000000000000000000633fa00094977699b8128d5b9a9e0edca4f6b16c00000000000000000000000000000000000000000000010f0cf064dd59200000
