,0,
0xeebc67a8f62fee5ce940d42a5b43cbdab45fd9621a0482c1ed41571c163729ee,0x008adda353dbbdc5def9897e0406511af690385b,0x60606040526040805190810160405280600b81526020017f5a4d494e4520546f6b656e000000000000000000000000000000000000000000815250600490805190602001906200005192919062000170565b506040805190810160405280600381526020017f5a4d4e0000000000000000000000000000000000000000000000000000000000815250600590805190602001906200009f92919062000170565b5060126006556b033b2e3c9fd0803ce80000006007553415620000c157600080fd5b33600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff16021790555060075460016000600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055506200021f565b828054600181600116156101000203166002900490600052602060002090601f016020900481019282601f10620001b357805160ff1916838001178555620001e4565b82800160010185558215620001e4579182015b82811115620001e3578251825591602001919060010190620001c6565b5b509050620001f39190620001f7565b5090565b6200021c91905b8082111562000218576000816000905550600101620001fe565b5090565b90565b61168c806200022f6000396000f3006060604052600436106100d0576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff16806306fdde03146100d5578063095ea7b31461016357806318160ddd146101bd57806323b872dd146101e6578063313ce5671461025f57806342966c681461028857806366188463146102ab57806370a08231146103055780638da5cb5b1461035257806395d89b41146103a7578063a9059cbb14610435578063d73dd6231461048f578063dd62ed3e146104e9578063f2fde38b14610555575b600080fd5b34156100e057600080fd5b6100e861058e565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561012857808201518184015260208101905061010d565b50505050905090810190601f1680156101555780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561016e57600080fd5b6101a3600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803590602001909190505061062c565b604051808215151515815260200191505060405180910390f35b34156101c857600080fd5b6101d061071e565b6040518082815260200191505060405180910390f35b34156101f157600080fd5b610245600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610724565b604051808215151515815260200191505060405180910390f35b341561026a57600080fd5b610272610ae3565b6040518082815260200191505060405180910390f35b341561029357600080fd5b6102a96004808035906020019091905050610ae9565b005b34156102b657600080fd5b6102eb600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610c8c565b604051808215151515815260200191505060405180910390f35b341561031057600080fd5b61033c600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091905050610f1d565b6040518082815260200191505060405180910390f35b341561035d57600080fd5b610365610f66565b604051808273ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200191505060405180910390f35b34156103b257600080fd5b6103ba610f8c565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156103fa5780820151818401526020810190506103df565b50505050905090810190601f1680156104275780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561044057600080fd5b610475600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803590602001909190505061102a565b604051808215151515815260200191505060405180910390f35b341561049a57600080fd5b6104cf600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803590602001909190505061124e565b604051808215151515815260200191505060405180910390f35b34156104f457600080fd5b61053f600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff1690602001909190505061144a565b6040518082815260200191505060405180910390f35b341561056057600080fd5b61058c600480803573ffffffffffffffffffffffffffffffffffffffff169060200190919050506114d1565b005b60048054600181600116156101000203166002900480601f0160208091040260200160405190810160405280929190818152602001828054600181600116156101000203166002900480156106245780601f106105f957610100808354040283529160200191610624565b820191906000526020600020905b81548152906001019060200180831161060757829003601f168201915b505050505081565b600081600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925846040518082815260200191505060405180910390a36001905092915050565b60075481565b60008073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff161415151561076157600080fd5b600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205482111515156107af57600080fd5b600260008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054821115151561083a57600080fd5b61088c82600160008773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461162990919063ffffffff16565b600160008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000208190555061092182600160008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461164290919063ffffffff16565b600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055506109f382600260008773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461162990919063ffffffff16565b600260008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff168473ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a3600190509392505050565b60065481565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff16141515610b4557600080fd5b8060016000600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205410151515610bb557600080fd5b8060016000600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020540360016000600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002081905550806007540360078190555050565b600080600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054905080831115610d9d576000600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002081905550610e31565b610db0838261162990919063ffffffff16565b600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055505b8373ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008873ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546040518082815260200191505060405180910390a3600191505092915050565b6000600160008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020549050919050565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1681565b60058054600181600116156101000203166002900480601f0160208091040260200160405190810160405280929190818152602001828054600181600116156101000203166002900480156110225780601f10610ff757610100808354040283529160200191611022565b820191906000526020600020905b81548152906001019060200180831161100557829003601f168201915b505050505081565b60008073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff161415151561106757600080fd5b600160003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205482111515156110b557600080fd5b61110782600160003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461162990919063ffffffff16565b600160003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000208190555061119c82600160008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461164290919063ffffffff16565b600160008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a36001905092915050565b60006112df82600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461164290919063ffffffff16565b600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546040518082815260200191505060405180910390a36001905092915050565b6000600260008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054905092915050565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff1614151561152d57600080fd5b600073ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff161415151561156957600080fd5b8073ffffffffffffffffffffffffffffffffffffffff16600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a380600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff16021790555050565b600082821115151561163757fe5b818303905092915050565b600080828401905083811015151561165657fe5b80915050929150505600a165627a7a72305820b92ed886472047ee19052ef069b1b42389b5a0a333b1540aa7b02f64ed9972000029
0xa632ef0c60cb737700b305df39909f5fb83ebd424596ccfda6a1b350f7cb3c8b,0x008adda353dbbdc5def9897e0406511af690385b,0xa9059cbb00000000000000000000000018a4cdbb8f12f514e390f3371628e632970bcb5f0000000000000000000000000000000000000000000000056bc75e2d63100000
0xa1c148be68c93a2b48d88a27cd6fe12bea91a0ff2da7ba872152b58cae528c96,0x008adda353dbbdc5def9897e0406511af690385b,0xa9059cbb00000000000000000000000000d7df09a9b0d36961c9218d387b33821ada2f7500000000000000000000000000000000000000000052b7d2dcc80cd2e4000000
0x68c911f51d2d5329805820b10a62abdfb4002244e1cb11b1f052eacadacff9b3,0x00d7df09a9b0d36961c9218d387b33821ada2f75,0xa9059cbb0000000000000000000000007f0fd392ea0e60836ff2d2fba779caf6e895371e0000000000000000000000000000000000000000000000056bc75e2d63100000
0xd0a05aebf6f4465e2229d2115933ac9958b19d238b08ef7035bdbb7fe07ca8da,0x00d7df09a9b0d36961c9218d387b33821ada2f75,0xa9059cbb0000000000000000000000007f0fd392ea0e60836ff2d2fba779caf6e895371e000000000000000000000000000000000000000000059fef515079bc16f00000
0x372aa584e4f839a69acb65703fd4c6102a3bd1e4152e779ff33dbad6a560a556,0x008adda353dbbdc5def9897e0406511af690385b,0xa9059cbb0000000000000000000000008b4705c5d8ad54e800d8cf08dfb655c5443b9b4e0000000000000000000000000000000000000000000000008ac7230489e80000
0xd67cb11ce02b3d29f7c7b4503f6989dd1c9c1346eb67f909956fca8cdcb8ea3d,0x8b4705c5d8ad54e800d8cf08dfb655c5443b9b4e,0xa9059cbb00000000000000000000000000353b2eb22dbbfe36ca1c44e420dd1d920768a40000000000000000000000000000000000000000000000008ac7230489e80000
0xf9f3b607c3ce700b6d5951de2a36f99bfbbda07b2cf731bb70c428bc36a06d13,0x008adda353dbbdc5def9897e0406511af690385b,0xa9059cbb0000000000000000000000002b3decfbbd75bd1c942820bca1b898ed9292e75f0000000000000000000000000000000000000000000000008ac7230489e80000
0xfde352cc86b96a936128baf45f3115b9a7784cbb002f1364e9ccc0531f110592,0x2b3decfbbd75bd1c942820bca1b898ed9292e75f,0xa9059cbb00000000000000000000000000353b2eb22dbbfe36ca1c44e420dd1d920768a40000000000000000000000000000000000000000000000008ac7230489e80000
0xd013d4e0d16ad35e249c1d115cd91cc1d192c9f8e4fd7740cffd7f6a934f6f00,0x00d7df09a9b0d36961c9218d387b33821ada2f75,0xa9059cbb0000000000000000000000002391375856406136d7528f2d8f43221cd985916c0000000000000000000000000000000000000000000000056bc75e2d63100000
