,0,
0xb05c54fd5680e8b5a8a99ebcc28d1ceca50b62d039a2465cb8db525baeb57afa,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0x60c0604052600a60808190527f426974636f666665656e0000000000000000000000000000000000000000000060a090815261003e91600391906100bf565b506040805180820190915260038082527f42464600000000000000000000000000000000000000000000000000000000006020909201918252610083916004916100bf565b50600860055567016345785d8a00006006553480156100a157600080fd5b5060065460018190553360009081526020819052604090205561015a565b828054600181600116156101000203166002900490600052602060002090601f016020900481019282601f1061010057805160ff191683800117855561012d565b8280016001018555821561012d579182015b8281111561012d578251825591602001919060010190610112565b5061013992915061013d565b5090565b61015791905b808211156101395760008155600101610143565b90565b61088f806101696000396000f3fe608060405234801561001057600080fd5b50600436106100b45760003560e01c8063661884631161007157806366188463146101d657806370a082311461020257806395d89b4114610228578063a9059cbb14610230578063d73dd6231461025c578063dd62ed3e14610288576100b4565b806306fdde03146100b9578063095ea7b31461013657806318160ddd1461017657806323b872dd146101905780632ff2e9dc146101c6578063313ce567146101ce575b600080fd5b6100c16102b6565b6040805160208082528351818301528351919283929083019185019080838360005b838110156100fb5781810151838201526020016100e3565b50505050905090810190601f1680156101285780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b6101626004803603604081101561014c57600080fd5b506001600160a01b038135169060200135610344565b604080519115158252519081900360200190f35b61017e6103aa565b60408051918252519081900360200190f35b610162600480360360608110156101a657600080fd5b506001600160a01b038135811691602081013590911690604001356103b0565b61017e610523565b61017e610529565b610162600480360360408110156101ec57600080fd5b506001600160a01b03813516906020013561052f565b61017e6004803603602081101561021857600080fd5b50356001600160a01b031661061e565b6100c1610639565b6101626004803603604081101561024657600080fd5b506001600160a01b038135169060200135610694565b6101626004803603604081101561027257600080fd5b506001600160a01b038135169060200135610771565b61017e6004803603604081101561029e57600080fd5b506001600160a01b038135811691602001351661080a565b6003805460408051602060026001851615610100026000190190941693909304601f8101849004840282018401909252818152929183018282801561033c5780601f106103115761010080835404028352916020019161033c565b820191906000526020600020905b81548152906001019060200180831161031f57829003601f168201915b505050505081565b3360008181526002602090815260408083206001600160a01b038716808552908352818420869055815186815291519394909390927f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925928290030190a350600192915050565b60015490565b6001600160a01b0383166000908152602081905260408120548211156103d557600080fd5b6001600160a01b038416600090815260026020908152604080832033845290915290205482111561040557600080fd5b6001600160a01b03831661041857600080fd5b6001600160a01b038416600090815260208190526040902054610441908363ffffffff61083516565b6001600160a01b038086166000908152602081905260408082209390935590851681522054610476908363ffffffff61084716565b6001600160a01b038085166000908152602081815260408083209490945591871681526002825282812033825290915220546104b8908363ffffffff61083516565b6001600160a01b03808616600081815260026020908152604080832033845282529182902094909455805186815290519287169391927fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef929181900390910190a35060019392505050565b60065481565b60055481565b3360009081526002602090815260408083206001600160a01b0386168452909152812054808310610583573360009081526002602090815260408083206001600160a01b03881684529091528120556105b8565b610593818463ffffffff61083516565b3360009081526002602090815260408083206001600160a01b03891684529091529020555b3360008181526002602090815260408083206001600160a01b0389168085529083529281902054815190815290519293927f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925929181900390910190a35060019392505050565b6001600160a01b031660009081526020819052604090205490565b6004805460408051602060026001851615610100026000190190941693909304601f8101849004840282018401909252818152929183018282801561033c5780601f106103115761010080835404028352916020019161033c565b336000908152602081905260408120548211156106b057600080fd5b6001600160a01b0383166106c357600080fd5b336000908152602081905260409020546106e3908363ffffffff61083516565b33600090815260208190526040808220929092556001600160a01b03851681522054610715908363ffffffff61084716565b6001600160a01b038416600081815260208181526040918290209390935580518581529051919233927fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef9281900390910190a350600192915050565b3360009081526002602090815260408083206001600160a01b03861684529091528120546107a5908363ffffffff61084716565b3360008181526002602090815260408083206001600160a01b0389168085529083529281902085905580519485525191937f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925929081900390910190a350600192915050565b6001600160a01b03918216600090815260026020908152604080832093909416825291909152205490565b60008282111561084157fe5b50900390565b8181018281101561085457fe5b9291505056fea265627a7a72315820567b840deb81dda6dd612b0b7b2c36950e8d3c55f8920a95470658b5a93172bb64736f6c634300050c0032
0x99c47e53912d7824ae0f55c7b3ca4fab739fcdbede55d715296ec4eda78aef21,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb000000000000000000000000c9bc8b5cdd99f5d75def44eeb9cf91a445b5a4c40000000000000000000000000000000000000000000000000000000005f5e100
0xf5e20bc460ec86b541b781740aa78f6fa4fa0b386498c6d0035818774d4f24a1,0xc9bc8b5cdd99f5d75def44eeb9cf91a445b5a4c4,0xa9059cbb0000000000000000000000008b3351decfd8802882cbc5f30abe5bc69d54a4490000000000000000000000000000000000000000000000000000000005f5e100
0x239207313bb2cf19158fc77aa5a8ac0b09067fadd9d3ea8c5aecf7118a5f903f,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000002f48977aebe9a2c4631e68f4e1f1e6353cf8955a0000000000000000000000000000000000000000000000000000000005f5e100
0x22c05eddedae8ddf376e49d7ed7e0d9ba2825307e297d818495a0036eb5fc781,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000003bec028acbca9e6950abd2f61721035bef37a9c40000000000000000000000000000000000000000000000000000000005f5e100
0x6e1f3bc99b32f6518e4623307aa17d1156e31ccb795fe24fc68ac16b8ed5f60b,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb000000000000000000000000f67851f6b1ffb5e22f202b8c4319c5679e4612410000000000000000000000000000000000000000000000000000000005f5e100
0xe166bb6d25b2cfd5a93e1b378dbf4b928c3f6a317815e62d02797634096ea0e0,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000008b3351decfd8802882cbc5f30abe5bc69d54a44900000000000000000000000000000000000000000000000000000000057bcf00
0x9befc5fdbbf18f100c53236a2e6909a56a4d74f9f315a339e409d9bb61a54a69,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000008b3351decfd8802882cbc5f30abe5bc69d54a44900000000000000000000000000000000000000000000000000000000057bcf00
0xd05a08ece99352be072cf6345de657d63606737e707c3df24c6379bbac4d2922,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000008b3351decfd8802882cbc5f30abe5bc69d54a44900000000000000000000000000000000000000000000000000000000057bcf00
0x0d75b5a33ac22bc711ad67f542b50faeb559fd5ef1fe8636ade9123e0b6947c4,0x8b3351decfd8802882cbc5f30abe5bc69d54a449,0xa9059cbb0000000000000000000000008b3351decfd8802882cbc5f30abe5bc69d54a44900000000000000000000000000000000000000000000000000000000057bcf00
