,4,
0x75c7577b47a63f2dd1eb8113b6be49ce7878690fa3e5780d744ef89abc52843c,0xaff2fe3c58e2afcf2ba6101d22bfb4bc6bf53e55,0x60606040526040805190810160405280601081526020017f4368616e676520596f7572204c69666500000000000000000000000000000000815250600490805190602001906200005192919062000196565b506040805190810160405280600381526020017f4141410000000000000000000000000000000000000000000000000000000000815250600590805190602001906200009f92919062000196565b506008600655600654600a0a6317a9bd40026007553415620000c057600080fd5b33600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff16021790555060075460018190555033600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff1602179055506007546000803373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000208190555062000245565b828054600181600116156101000203166002900490600052602060002090601f016020900481019282601f10620001d957805160ff19168380011785556200020a565b828001600101855582156200020a579182015b8281111562000209578251825591602001919060010190620001ec565b5b5090506200021991906200021d565b5090565b6200024291905b808211156200023e57600081600090555060010162000224565b5090565b90565b6114ee80620002556000396000f3006060604052600436106100d0576000357c0100000000000000000000000000000000000000000000000000000000900463ffffffff16806306fdde03146100d5578063095ea7b31461016357806318160ddd146101bd57806323b872dd146101e65780632ff2e9dc1461025f578063313ce5671461028857806366188463146102b157806370a082311461030b5780638da5cb5b1461035857806395d89b41146103ad578063a9059cbb1461043b578063d73dd62314610495578063dd62ed3e146104ef578063f2fde38b1461055b575b600080fd5b34156100e057600080fd5b6100e8610594565b6040518080602001828103825283818151815260200191508051906020019080838360005b8381101561012857808201518184015260208101905061010d565b50505050905090810190601f1680156101555780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561016e57600080fd5b6101a3600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610632565b604051808215151515815260200191505060405180910390f35b34156101c857600080fd5b6101d0610724565b6040518082815260200191505060405180910390f35b34156101f157600080fd5b610245600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803590602001909190505061072e565b604051808215151515815260200191505060405180910390f35b341561026a57600080fd5b610272610ae8565b6040518082815260200191505060405180910390f35b341561029357600080fd5b61029b610aee565b6040518082815260200191505060405180910390f35b34156102bc57600080fd5b6102f1600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610af4565b604051808215151515815260200191505060405180910390f35b341561031657600080fd5b610342600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091905050610d85565b6040518082815260200191505060405180910390f35b341561036357600080fd5b61036b610dcd565b604051808273ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200191505060405180910390f35b34156103b857600080fd5b6103c0610df3565b6040518080602001828103825283818151815260200191508051906020019080838360005b838110156104005780820151818401526020810190506103e5565b50505050905090810190601f16801561042d5780820380516001836020036101000a031916815260200191505b509250505060405180910390f35b341561044657600080fd5b61047b600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091908035906020019091905050610e91565b604051808215151515815260200191505060405180910390f35b34156104a057600080fd5b6104d5600480803573ffffffffffffffffffffffffffffffffffffffff169060200190919080359060200190919050506110b0565b604051808215151515815260200191505060405180910390f35b34156104fa57600080fd5b610545600480803573ffffffffffffffffffffffffffffffffffffffff1690602001909190803573ffffffffffffffffffffffffffffffffffffffff169060200190919050506112ac565b6040518082815260200191505060405180910390f35b341561056657600080fd5b610592600480803573ffffffffffffffffffffffffffffffffffffffff16906020019091905050611333565b005b60048054600181600116156101000203166002900480601f01602080910402602001604051908101604052809291908181526020018280546001816001161561010002031660029004801561062a5780601f106105ff5761010080835404028352916020019161062a565b820191906000526020600020905b81548152906001019060200180831161060d57829003601f168201915b505050505081565b600081600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925846040518082815260200191505060405180910390a36001905092915050565b6000600154905090565b60008073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff161415151561076b57600080fd5b6000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205482111515156107b857600080fd5b600260008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054821115151561084357600080fd5b610894826000808773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461148b90919063ffffffff16565b6000808673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002081905550610927826000808673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546114a490919063ffffffff16565b6000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055506109f882600260008773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461148b90919063ffffffff16565b600260008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff168473ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a3600190509392505050565b60075481565b60065481565b600080600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054905080831115610c05576000600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002081905550610c99565b610c18838261148b90919063ffffffff16565b600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055505b8373ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008873ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546040518082815260200191505060405180910390a3600191505092915050565b60008060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020549050919050565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1681565b60058054600181600116156101000203166002900480601f016020809104026020016040519081016040528092919081815260200182805460018160011615610100020316600290048015610e895780601f10610e5e57610100808354040283529160200191610e89565b820191906000526020600020905b815481529060010190602001808311610e6c57829003601f168201915b505050505081565b60008073ffffffffffffffffffffffffffffffffffffffff168373ffffffffffffffffffffffffffffffffffffffff1614151515610ece57600080fd5b6000803373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020548211151515610f1b57600080fd5b610f6c826000803373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff1681526020019081526020016000205461148b90919063ffffffff16565b6000803373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002081905550610fff826000808673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546114a490919063ffffffff16565b6000808573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167fddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef846040518082815260200191505060405180910390a36001905092915050565b600061114182600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008673ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546114a490919063ffffffff16565b600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008573ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020819055508273ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff167f8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925600260003373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008773ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff168152602001908152602001600020546040518082815260200191505060405180910390a36001905092915050565b6000600260008473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002060008373ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff16815260200190815260200160002054905092915050565b600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff163373ffffffffffffffffffffffffffffffffffffffff1614151561138f57600080fd5b600073ffffffffffffffffffffffffffffffffffffffff168173ffffffffffffffffffffffffffffffffffffffff16141515156113cb57600080fd5b8073ffffffffffffffffffffffffffffffffffffffff16600360009054906101000a900473ffffffffffffffffffffffffffffffffffffffff1673ffffffffffffffffffffffffffffffffffffffff167f8be0079c531659141344cd1fd0a4f28419497f9722a3daafe3b4186f6b6457e060405160405180910390a380600360006101000a81548173ffffffffffffffffffffffffffffffffffffffff021916908373ffffffffffffffffffffffffffffffffffffffff16021790555050565b600082821115151561149957fe5b818303905092915050565b60008082840190508381101515156114b857fe5b80915050929150505600a165627a7a72305820c5e297dc4d7d0c44f019fa3e2202ee28e27e97742e56bfca6be895f73d1baf350029
0x822e25f6b79a20d8ab01de0c6fa7378feed9d241245e07b0e5097d5e14a2f105,0xaff2fe3c58e2afcf2ba6101d22bfb4bc6bf53e55,0xa9059cbb000000000000000000000000033792adb43f3c12f1609a4aa1e9084d782d4210000000000000000000000000000000000000000000000000008d0af08d954000
0x156103fcb3b789322c8e377dfeafe710de9f993ab85af28822300f7c36fa7961,0x033792adb43f3c12f1609a4aa1e9084d782d4210,0xa9059cbb000000000000000000000000b11907afa35b46a94fcd11bf036f6d2595d760bf000000000000000000000000000000000000000000000000008d0af08d954000
0x06fcc66fe655721aaed6bc29e291d1dae4e4750ae67562cebb46f484c61b09cb,0xb11907afa35b46a94fcd11bf036f6d2595d760bf,0xa9059cbb000000000000000000000000ffbfbec78c6cedf31272e171200d45528cc6d9b000000000000000000000000000000000000000000000000000000002540be400
0xfe26a3111157b9f782d4a00f693f503c82d450cb2b87ca415dafc841498f0d3b,0xb11907afa35b46a94fcd11bf036f6d2595d760bf,0xa9059cbb000000000000000000000000ffbfbec78c6cedf31272e171200d45528cc6d9b0000000000000000000000000000000000000000000000000000009184e72a000
0xc2f831966026934d69d96984a0bdfcb9ff9966813c3f36bbc322c5e2b4651829,0xffbfbec78c6cedf31272e171200d45528cc6d9b0,0xa9059cbb000000000000000000000000bb2e2b39a82c8b44ac01b558631387ebbd1645af0000000000000000000000000000000000000000000000000000000029b92700
0xbee735e8fa2b6026475cf016bf3415300492da57c2986a5915bc3513b5e177b4,0xffbfbec78c6cedf31272e171200d45528cc6d9b0,0xa9059cbb00000000000000000000000066efb57af2020e7553aabb87a5f5a6ad34879b45000000000000000000000000000000000000000000000000000000003b9aca00
0xac28138e4b6e3c3326ef8acc41de8678c5f09449734be6619b3940766dd0e95e,0xffbfbec78c6cedf31272e171200d45528cc6d9b0,0xa9059cbb0000000000000000000000005a1e1170b8b53e9aa91398e9b166d9e831bc79a100000000000000000000000000000000000000000000000000000246139ca800
0x970af14bcb176359cb7c7ebc5b6449fa75a22a912624a99533b17274665b92c3,0xffbfbec78c6cedf31272e171200d45528cc6d9b0,0xa9059cbb000000000000000000000000e23bf12039632d8724a4d1bcf65bd7cbbf61fe2c00000000000000000000000000000000000000000000000000000002540be400
0x6ebefdc0399c7403b1b6664bd592158fc38c3457f50bcee4f844a13867af0edf,0xffbfbec78c6cedf31272e171200d45528cc6d9b0,0xa9059cbb000000000000000000000000174253996248fc1c3178ede53e6861c356e54cba00000000000000000000000000000000000000000000000000000002540be400
